provinsi,jenis,daerah,tahun,periode,gk,gk_scaled,provinsi_encoded,jenis_encoded,daerah_encoded,periode_encoded,gk_category,cluster,pca1,pca2
ACEH,TOTAL,PERDESAAN,2021,SEPTEMBER,541000.0,0.5974156902613426,0,2,0,1,Menengah,3,236089.2794566187,-15.984458541298286
ACEH,TOTAL,PERDESAAN,2022,MARET,565762.0,0.6274563802193909,0,2,0,0,Menengah,3,260851.279459866,-15.929045344929367
ACEH,TOTAL,PERDESAAN,2022,SEPTEMBER,602900.0,0.6725113492712445,0,2,0,1,Tinggi,3,297989.27945959975,-15.848947480889601
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,MARET,541109.0,0.5975479265591145,0,2,1,0,Menengah,3,236198.27945682954,-15.984107147420556
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,SEPTEMBER,552939.0,0.6118998109870165,0,2,1,1,Menengah,3,248028.2794568166,-15.958553390750097
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,MARET,579228.0,0.643793022290915,0,2,1,0,Menengah,3,274317.27946004865,-15.899849185532084
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,SEPTEMBER,617293.0,0.6899726064623515,0,2,1,1,Tinggi,3,312382.279459773,-15.817753439892375
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,MARET,261677.0,0.25854743886194287,33,0,2,0,Rendah,0,-43233.72063608229,16.39949203373901
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,SEPTEMBER,273271.0,0.27261301350751316,33,0,2,1,Rendah,0,-31639.720636092883,16.424537160358128
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,MARET,290096.0,0.2930247172690899,33,0,2,0,Rendah,0,-14814.72063276614,16.462844438432832
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,SEPTEMBER,302027.0,0.30749913257841366,33,0,2,1,Rendah,0,-2883.7206327801105,16.488615871523557
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,MARET,266143.0,0.26396548753945853,33,0,0,0,Rendah,0,-38767.72063676175,16.408769063892656
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,SEPTEMBER,284650.0,0.28641775508867107,33,0,0,1,Rendah,0,-20260.72063684155,16.44871317163411
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,MARET,304942.0,0.3110355436610286,33,0,0,0,Rendah,0,31.279366450500675,16.494492569996844
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,SEPTEMBER,313234.0,0.3210952077080416,33,0,0,1,Rendah,0,8323.27936647291,16.512421186321454
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,263932.0,0.26128315309566386,33,0,1,0,Rendah,0,-40978.72063642222,16.404177963481636
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,279015.0,0.27958150244697805,33,0,1,1,Rendah,0,-25895.72063646774,16.436742625054585
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,296832.0,0.3011966778359833,33,0,1,0,Rendah,0,-8078.7206331509515,16.47718787351456
SUMATERA UTARA,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,308037.0,0.3147903266115237,33,0,1,1,Rendah,0,3126.2793668423546,16.50139462263381
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,MARET,311996.0,0.3195932945278436,33,0,2,0,Rendah,0,7085.279370615259,16.512147015564594
